Ticker	Name	CUSIP	Fama Industry	Currency	Sector	Industry	Last Updated	Prior Tickers	Ticker Change Date	Related Tickers	Exchange	SIC	Perma Ticker	Location	Delisted From	Is Foreign
NLSN	Nielsen Holdings plc	N63218106,G6518L108	Business Services	USD	Technology	Information & Delivery Services	2016-10-26	None	None	None	NYSE	7389	192873	NEW YORK, U.S.A	None	N
NLST	NETLIST INC	64118P109,64114J107	Electronic Equipment	USD	Technology	Communication Equipment	2016-11-16	None	None	None	NASDAQ	3674	195214	CALIFORNIA, U.S.A	None	N
NLY	ANNALY CAPITAL MANAGEMENT INC	035710409	Trading	USD	Financial	REIT - Diversified	2016-11-05	None	None	None	NYSE	6798	196785	NEW YORK, U.S.A	None	N
NMBL	Nimble Storage Inc	65440R101	Computers	USD	Technology	Data Storage Devices	2016-09-10	None	None	None	NYSE	3572	187664	CALIFORNIA, U.S.A	None	N
NNI	NELNET INC	64031N108	Banking	USD	Financial	Credit Services	2016-11-10	None	None	None	NYSE	6141	195356	NEBRASKA, U.S.A	None	N
NNN	NATIONAL RETAIL PROPERTIES, INC.	637417106	Trading	USD	Financial	REIT - Diversified	2016-11-05	None	None	None	NYSE	6798	198651	FLORIDA, U.S.A	None	N
NOC	NORTHROP GRUMMAN CORP	666807102	Electronic Equipment	USD	Industrial Goods	Aerospace/Defense - Major Diversified	2016-10-27	None	None	NTH	NYSE	3812	195878	VIRGINIA, U.S.A	None	N
NOG	NORTHERN OIL & GAS, INC.	665531109	Coal	USD	Basic Materials	Oil & Gas Drilling & Exploration	2016-11-10	None	None	None	NYSEMKT	1311	196108	MINNESOTA, U.S.A	None	N
NOV	NATIONAL OILWELL VARCO INC	637071101	Machinery	USD	Basic Materials	Oil & Gas Equipment & Services	2016-10-29	None	None	None	NYSE	3533	196999	TEXAS, U.S.A	None	N
NOW	ServiceNow, Inc.	81762P102	Business Services	USD	Technology	Information Technology Services	2016-11-05	None	None	None	NYSE	7372	194342	CALIFORNIA, U.S.A	None	N
NP	Neenah Paper Inc	640079109	Business Supplies	USD	Consumer Goods	Paper & Paper Products	2016-11-10	None	None	None	NYSE	2621	195077	GEORGIA, U.S.A	None	N
NPO	ENPRO INDUSTRIES, INC	29355X107	Rubber and Plastic Products	USD	Industrial Goods	Industrial Equipment & Components	2016-11-04	None	None	None	NYSE	3050	195673	NORTH CAROLINA, U.S.A	None	N
NRG	NRG ENERGY, INC.	629377508	Utilities	USD	Utilities	Diversified Utilities	2016-11-05	None	None	None	NYSE	4911	197070	NEW JERSEY, U.S.A	None	N
NSC	NORFOLK SOUTHERN CORP	655844108	Shipping Containers	USD	Services	Railroads	2016-10-27	None	None	None	NYSE	4011	198952	VIRGINIA, U.S.A	None	N
NSH	NuStar GP Holdings, LLC	67059L102	Shipping Containers	USD	Industrial Goods	Pipelines, except Natural Gas	2016-11-08	None	None	None	NYSE	4610	195430	TEXAS, U.S.A	None	N
NSM	Nationstar Mortgage Holdings Inc.	63861C109	Banking	USD	Financial	Mortgage Investment	2016-11-05	None	None	None	NYSE	6162	192351	TEXAS, U.S.A	None	N
NSR	NEUSTAR INC	64126X201	Communication	USD	Technology	Diversified Communication Services	2016-10-28	None	None	None	NYSE	4899	195318	VIRGINIA, U.S.A	None	N
NSTG	NanoString Technologies Inc	63009R109	Pharmaceutical Products	USD	Healthcare	Drugs - Generic	2016-11-05	None	None	None	NASDAQ	2836	193980	WASHINGTON, U.S.A	None	N
NTAP	NetApp, Inc.	64110D104,64120L104	Computers	USD	Technology	Data Storage Devices	2016-09-03	None	None	None	NASDAQ	3572	197175	CALIFORNIA, U.S.A	None	N
NTGR	NETGEAR, INC	64111Q104	Electronic Equipment	USD	Technology	Communication Equipment	2016-11-05	None	None	None	NASDAQ	3661	195979	CALIFORNIA, U.S.A	None	N
